ID;Age range;Gender;Education level;Employment status;Occupation (optional);Tech usage frequency;Knowledge about AI;Trust AI?;Beneficial or harmful?;AI use 1 to 5;Like AI products in future?;AI threatens individual freedoms;Could AI eliminate professions?;Could AI affect your job?;AI should be limited by ethical rules?;Could AI become conscious like humans?;NOT an AI application?;ML algo used in AI field ;Which type of AI is ChatGPT
1;18-24;Male;Bachelor's degree;Student;;Between 5 to 10 hours per day;Good level knowledge;Undecided;Both beneficial and harmful;4;Yes;Agree;Yes;Yes;Undecided;Becoming;WhatsApp;Game algorithm;Web browser
2;18-24;Female;Bachelor's degree;Student;;Between 2 to 5 hours per day;Basic knowledge;No;More harmful than beneficial;3;Undecided;Agree;Undecided;Undecided;Agree;Becoming;WhatsApp;HTML;Web browser
3;18-24;Male;Bachelor's degree;Student;Student;Between 5 to 10 hours per day;Good level knowledge;Undecided;Both beneficial and harmful;3;Yes;Agree;Yes;Undecided;Agree;No;WhatsApp;Linear regression;NLP
4;18-24;Male;Bachelor's degree;Student;Engineer;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;Yes;Undecided;Yes;Think;Agree;Undecided;WhatsApp;HTML;Web browser
5;18-24;Male;Bachelor's degree;Student;;Between 2 to 5 hours per day;Heard a little;Undecided;Both beneficial and harmful;1;Yes;Agree;Yes;Undecided;Agree;Undecided;WhatsApp;Don't know;Web browser
6;18-24;Female;Bachelor's degree;Student;Student;Between 5 to 10 hours per day;Basic knowledge;No;Both beneficial and harmful;3;Yes;Strongly disagree;No;No;Strongly Agree;No;WhatsApp;Linear regression;NLP
7;18-24;Male;High school;Student;Student;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;Yes;Undecided;Yes;Undecided;Strongly Agree;No;WhatsApp;Don't know;NLP
8;18-24;Male;High school;Student;Student;More than 10 hours per day;Good level knowledge;Undecided;More beneficial than harmful;1;Yes;Agree;Yes;Undecided;Agree;No;WhatsApp;Linear regression;Web browser
9;Under 18;Male;High school;Student;Student;Between 5 to 10 hours per day;Basic knowledge;Yes;Definitely beneficial;3;Undecided;Undecided;Yes;No;Agree;No;WhatsApp;HTML;Image processing
10;Under 18;Female;Primary education;Student;Student;Between 2 to 5 hours per day;Heard a little;Yes;Both beneficial and harmful;4;Yes;Disagree;Yes;Undecided;Agree;No;Don't know;Don't know;Web browser
11;Under 18;Female;Primary education;Student;Student;Between 0 to 2 hours per day;Heard a little;No;Both beneficial and harmful;1;No;Strongly Agree;Yes;No;Undecided;Becoming;Netflix recommendations;Don't know;Web browser
12;18-24;Male;Bachelor's degree;Student;;Between 5 to 10 hours per day;Good level knowledge;Yes;Both beneficial and harmful;4;Yes;Undecided;Yes;Yes;Strongly Agree;Becoming;WhatsApp;Linear regression;NLP
13;Under 18;Female;Primary education;Student;Student;Between 0 to 2 hours per day;Heard a little;No;Both beneficial and harmful;1;No;Agree;Yes;No;Agree;Becoming;Netflix recommendations;Don't know;Web browser
14;Under 18;Female;Primary education;Student;Student;Between 2 to 5 hours per day;Good level knowledge;Undecided;Both beneficial and harmful;1;Yes;Agree;Yes;No;Agree;Becoming;Netflix recommendations;Don't know;Web browser
15;Under 18;Female;High school;Student;Student;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;3;Yes;Agree;Yes;Undecided;Strongly Agree;Becoming;Netflix recommendations;Don't know;Web browser
16;18-24;Male;Bachelor's degree;Student;Student;Between 2 to 5 hours per day;Good level knowledge;No;More beneficial than harmful;4;Yes;Agree;Yes;Think;Agree;Becoming;WhatsApp;Linear regression;NLP
17;35-44;Male;Bachelor's degree;Employed;Engineer;Between 5 to 10 hours per day;Good level knowledge;Yes;Both beneficial and harmful;3;Yes;Undecided;No;Think;Agree;No;WhatsApp;Don't know;NLP
18;35-44;Female;Primary education;Unemployed;Housewife;Between 2 to 5 hours per day;No knowledge;Undecided;Both beneficial and harmful;2;No;Undecided;Yes;No;Agree;No;Don't know;Don't know;Don't know
19;18-24;Male;Bachelor's degree;Student;Student;Between 5 to 10 hours per day;Basic knowledge;Yes;Both beneficial and harmful;4;Undecided;Undecided;Undecided;No;Undecided;Undecided;Don't know;Don't know;Image processing
20;45 and older;Male;High school;Employed;Textile;Between 0 to 2 hours per day;Heard a little;No;More harmful than beneficial;1;No;Strongly disagree;Yes;No;Strongly Agree;Becoming;WhatsApp;Excel;Don't know
21;18-24;Male;Bachelor's degree;Student;Engineer;Between 2 to 5 hours per day;Good level knowledge;Yes;Both beneficial and harmful;3;Yes;Disagree;Yes;No;Agree;Becoming;WhatsApp;Linear regression;NLP
22;18-24;Male;High school;Employed;;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;Yes;Strongly disagree;Yes;No;Agree;Becoming;WhatsApp;Linear regression;Web browser
23;35-44;Female;Primary education;Unemployed;Housewife ;Between 0 to 2 hours per day;Heard a little;Yes;Both beneficial and harmful;1;No;Strongly Agree;Yes;Undecided;Agree;Undecided;Netflix recommendations;Don't know;NLP
24;35-44;Female;Primary education;Unemployed;Housewife;Between 0 to 2 hours per day;No knowledge;Undecided;More harmful than beneficial;4;Undecided;Undecided;Undecided;Undecided;Undecided;Undecided;Netflix recommendations;Don't know;Don't know
25;35-44;Female;Primary education;Unemployed;Housewife;Between 0 to 2 hours per day;No knowledge;Undecided;More harmful than beneficial;4;Undecided;Undecided;Undecided;Undecided;Undecided;Undecided;Netflix recommendations;Don't know;Don't know
26;35-44;Female;Primary education;Unemployed;Housewife;Between 2 to 5 hours per day;Basic knowledge;Undecided;More beneficial than harmful;3;Undecided;Undecided;Undecided;Undecided;Undecided;Undecided;Siri;Game algorithm;Image processing
27;Under 18;Male;High school;Student;;Between 5 to 10 hours per day;Heard a little;Undecided;Both beneficial and harmful;2;Yes;Undecided;Yes;Undecided;Undecided;Definitely Becoming;Netflix recommendations;Don't know;Web browser
28;Under 18;Male;Primary education;Student;Student;Between 2 to 5 hours per day;Heard a little;Yes;Both beneficial and harmful;5;Yes;Agree;Undecided;Think;Agree;Becoming;Netflix recommendations;Don't know;Don't know
29;35-44;Male;High school;Employed;Sales & Marketing;Between 0 to 2 hours per day;Basic knowledge;No;Definitely harmful;1;No;Strongly disagree;No;Yes;Strongly Agree;No;Don't know;Don't know;Don't know
30;35-44;Female;Primary education;Unemployed;Housewife ;Between 2 to 5 hours per day;Heard a little;Undecided;Both beneficial and harmful;2;Undecided;Undecided;Yes;Undecided;Agree;Becoming;Don't know;Don't know;Don't know
31;18-24;Female;High school;Employed;Textile;Between 2 to 5 hours per day;Heard a little;Undecided;More harmful than beneficial;1;Undecided;Disagree;Undecided;No;I disagree;No;Netflix recommendations;Don't know;Don't know
32;Under 18;Female;High school;Student;;Between 5 to 10 hours per day;Basic knowledge;No;Both beneficial and harmful;1;No;Agree;Yes;Undecided;Agree;Becoming;Netflix recommendations;Don't know;Web browser
33;18-24;Male;Bachelor's degree;Student;;Between 2 to 5 hours per day;Basic knowledge;Undecided;Both beneficial and harmful;2;Undecided;Agree;Yes;Think;Strongly Agree;Definitely Becoming;Netflix recommendations;Don't know;NLP
34;Under 18;Male;High school;Student;;Between 2 to 5 hours per day;Basic knowledge;Yes;Both beneficial and harmful;3;Yes;Strongly disagree;No;No;Strongly disagree;Definitely Becoming;WhatsApp;Don't know;Web browser
